ProductKey,OrderDate,SalesAmount,SalesOrderNumber
1000,2013-01-03,300.0,SO-201301-1000-1
1001,2013-01-06,300.0,SO-201301-1001-2
1010,2013-01-09,300.0,SO-201301-1010-3
2000,2013-01-12,54.0,SO-201301-2000-4
2001,2013-01-15,54.0,SO-201301-2001-5
3000,2013-01-18,58.5,SO-201301-3000-6
1000,2013-02-03,360.0,SO-201302-1000-1
1001,2013-02-06,360.0,SO-201302-1001-2
1010,2013-02-09,360.0,SO-201302-1010-3
2000,2013-02-12,54.0,SO-201302-2000-4
2001,2013-02-15,54.0,SO-201302-2001-5
3000,2013-02-18,54.0,SO-201302-3000-6
1000,2013-03-03,480.0,SO-201303-1000-1
1001,2013-03-06,480.0,SO-201303-1001-2
1010,2013-03-09,480.0,SO-201303-1010-3
2000,2013-03-12,60.0,SO-201303-2000-4
2001,2013-03-15,60.0,SO-201303-2001-5
3000,2013-03-18,45.0,SO-201303-3000-6
1000,2013-04-03,660.0,SO-201304-1000-1
1001,2013-04-06,660.0,SO-201304-1001-2
1010,2013-04-09,660.0,SO-201304-1010-3
2000,2013-04-12,60.0,SO-201304-2000-4
2001,2013-04-15,60.0,SO-201304-2001-5
3000,2013-04-18,31.5,SO-201304-3000-6
1000,2013-05-03,780.0,SO-201305-1000-1
1001,2013-05-06,780.0,SO-201305-1001-2
1010,2013-05-09,780.0,SO-201305-1010-3
2000,2013-05-12,66.0,SO-201305-2000-4
2001,2013-05-15,66.0,SO-201305-2001-5
3000,2013-05-18,22.5,SO-201305-3000-6
1000,2013-06-03,900.0,SO-201306-1000-1
1001,2013-06-06,900.0,SO-201306-1001-2
1010,2013-06-09,900.0,SO-201306-1010-3
2000,2013-06-12,66.0,SO-201306-2000-4
2001,2013-06-15,66.0,SO-201306-2001-5
3000,2013-06-18,22.5,SO-201306-3000-6
1000,2013-07-03,960.0,SO-201307-1000-1
1001,2013-07-06,960.0,SO-201307-1001-2
1010,2013-07-09,960.0,SO-201307-1010-3
2000,2013-07-12,66.0,SO-201307-2000-4
2001,2013-07-15,66.0,SO-201307-2001-5
3000,2013-07-18,27.0,SO-201307-3000-6
1000,2013-08-03,840.0,SO-201308-1000-1
1001,2013-08-06,840.0,SO-201308-1001-2
1010,2013-08-09,840.0,SO-201308-1010-3
2000,2013-08-12,60.0,SO-201308-2000-4
2001,2013-08-15,60.0,SO-201308-2001-5
3000,2013-08-18,31.5,SO-201308-3000-6
1000,2013-09-03,660.0,SO-201309-1000-1
1001,2013-09-06,660.0,SO-201309-1001-2
1010,2013-09-09,660.0,SO-201309-1010-3
2000,2013-09-12,60.0,SO-201309-2000-4
2001,2013-09-15,60.0,SO-201309-2001-5
3000,2013-09-18,40.5,SO-201309-3000-6
1000,2013-10-03,540.0,SO-201310-1000-1
1001,2013-10-06,540.0,SO-201310-1001-2
1010,2013-10-09,540.0,SO-201310-1010-3
2000,2013-10-12,60.0,SO-201310-2000-4
2001,2013-10-15,60.0,SO-201310-2001-5
3000,2013-10-18,54.0,SO-201310-3000-6
1000,2013-11-03,360.0,SO-201311-1000-1
1001,2013-11-06,360.0,SO-201311-1001-2
1010,2013-11-09,360.0,SO-201311-1010-3
2000,2013-11-12,54.0,SO-201311-2000-4
2001,2013-11-15,54.0,SO-201311-2001-5
3000,2013-11-18,67.5,SO-201311-3000-6
1000,2013-12-03,300.0,SO-201312-1000-1
1001,2013-12-06,300.0,SO-201312-1001-2
1010,2013-12-09,300.0,SO-201312-1010-3
2000,2013-12-12,54.0,SO-201312-2000-4
2001,2013-12-15,54.0,SO-201312-2001-5
3000,2013-12-18,76.5,SO-201312-3000-6
